score,title,company,location,first_seen,flags,salary,source,url
92,"Forward Deployed Engineer, Agentic Platform",Cohere,"Middle East, Dubai, United Arab Emirates, Saudi Arabia, Riyadh",2026-09-24T20:59:40+00:00,visa/relocation,,ashby,https://jobs.ashbyhq.com/cohere/75c0032c-7200-48bf-9d6d-355880dd93d9
90,Software Engineer - Full Stack,Property Finder,"Property Finder UAE, Dubai, United Arab Emirates",2026-09-24T20:59:40+00:00,,,teamtailor,https://propertyfinder.teamtailor.com/jobs/8277351-software-engineer-full-stack
86,AI Engineer,Ruya AI,"Massachusetts (US) - Onsite · Remote - CA, MD, TX, VA , Belgrade, Grad Beograd, Serbia, Dubai, United Arab Emirates, Massachusetts, USA, Sarajevo, Bosnia and Herzegovina, Tuzla, Bosnia and Herzegovina, Washington, District of Columbia, United States",2026-09-24T20:59:40+00:00,visa/relocation,,greenhouse,https://job-boards.eu.greenhouse.io/ruyaai/jobs/4944185101
85,Full-stack Engineer (AI-native),Qashio,"Dubai, Gold & Diamond Park, United Arab Emirates",2026-09-24T20:59:40+00:00,,,teamtailor,https://careers.qashio.com/jobs/8357928-full-stack-engineer-ai-native
84,Senior Full-Stack Frontend Engineer,Ruya AI,Dubai · Bosnia · Serbia ,2026-09-24T20:59:40+00:00,visa/relocation,,greenhouse,https://job-boards.eu.greenhouse.io/ruyaai/jobs/4944274101
82,AI Engineer – Generative AI and Automation,MultiBank Group,"Dubai Office, United Arab Emirates",2026-09-24T20:59:40+00:00,,,ashby,https://jobs.ashbyhq.com/mexdigital/4c1abf17-cb71-470b-ae71-3a934c4e0cc7
82,AI Engineer,Qashio,"Dubai, Gold & Diamond Park, United Arab Emirates",2026-09-24T20:59:40+00:00,,,teamtailor,https://careers.qashio.com/jobs/8136820-ai-engineer
79,Pioneer Talent Program - Full Stack Engineer (Back-end Oriented),Binance,"Asia, Hong Kong, Taiwan, Taipei, Kuala Lumpur, Thailand, Bangkok, UAE, Dubai",2026-09-24T20:59:40+00:00,,,lever,https://jobs.lever.co/binance/fdee019b-d17e-4655-99c4-b8d31d8e61c5
78,Forward Deployed Engineer - UAE,OpenAI,"Abu Dhabi, UAE",2026-09-24T20:59:40+00:00,visa/relocation,,ashby,https://jobs.ashbyhq.com/openai/e9d435e1-1b9e-4715-84ce-75f372e5559c
77,Senior Frontend Engineer - Stablecoin,Binance,"Asia, Taiwan, Taipei, UAE, Dubai",2026-09-24T20:59:40+00:00,,,lever,https://jobs.lever.co/binance/d1a13207-95f2-484a-976f-a25593eaa3e9
75,Applied AI Engineer,OpenAI,"Abu Dhabi, UAE",2026-09-24T20:59:40+00:00,visa/relocation,,ashby,https://jobs.ashbyhq.com/openai/2226c39d-371b-4dec-bf60-2d76dbe4c445
74,"AI Product Engineer, Deployed",Brain Co.,"Abu Dhabi, Doha, United Arab Emirates",2026-09-24T20:59:40+00:00,,,ashby,https://jobs.ashbyhq.com/brainco/d8b1b928-d00e-4516-ba85-398cf9aba690
70,Forward Deployed Software Engineer,Palantir,"Dubai, United Arab Emirates",2026-09-24T20:59:40+00:00,,,lever,https://jobs.lever.co/palantir/8148182c-6127-4689-b615-7815a94173bb
